NumPlanes,FilterMode,NormalMode,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
3,0,1,104240,53606,6191,480597,3440,1977,2060,7918,15395
3,0,1,103134,53258,6327,480597,4463,2166,2088,8141,16858
3,0,1,104238,53605,6219,480597,5777,2065,2065,8430,18337
3,0,1,103134,53258,6325,480597,4111,2275,2095,9707,18188
3,0,1,104239,53605,6205,480597,3881,1946,2049,8434,16310
3,0,1,103134,53258,6328,480597,4226,1954,2062,8970,17212
3,0,1,104238,53605,6213,480597,4144,1991,2051,9940,18126
3,0,1,103134,53258,6326,480597,3606,3142,2087,8818,17653
3,0,1,104238,53605,6213,480597,22414,2004,2408,8908,35734
3,0,1,103134,53258,6327,480597,4566,2109,2224,9437,18336
3,0,1,104239,53605,6215,480597,4021,1954,2038,8156,16169
3,0,1,103134,53258,6326,480597,3693,1926,2057,9791,17467
3,0,1,104238,53605,6219,480597,3697,1935,2057,8676,16365
3,0,1,103134,53258,6326,480597,4548,2026,2070,9320,17964
3,0,1,104238,53605,6213,480597,13524,2261,2608,37215,55608
3,0,1,103134,53258,6326,480597,3630,1972,2339,10290,18231
